;Person;Affiliation;PrimaryKey
215;Editor; Pudhari; np.int64(984)
216;Editor; Pruthvi; np.int64(985)
217;Editor; Rajamarg; np.int64(986)
218;Editor; Janamitra; np.int64(992)
219;Editor; Samyukta; np.int64(993)
220;Editor; Prajavani; np.int64(994)
221;Editor; MalenaduJothi; np.int64(996)
222;Editor; Samyuktha Vijaya; np.int64(997)
223;Editor; Abhimanyu; np.int64(999)
224;Editor; Udayavani; np.int64(1002)
225;Editor; Shabdavedi; np.int64(1005)
226;Editor; Nanjanagud Mithra; np.int64(1006)
227;Editor; Mysore Mitra; np.int64(1008)
228;Editor; Sakshi; np.int64(1030)
229;Editor; Hamro Prajashakti; np.int64(1036)
230;Editor; Divya Himachal; np.int64(1040)
231;Editor; Amar Ujala; np.int64(1053)
232;Editor; C.G.; np.int64(1060)
233;Editor; Janadhar Sandesh; np.int64(1076)
234;Editor; Vidhan Kesari; np.int64(1083)
235;Editor; Nirbhay; np.int64(1088)
236;Editor; Adinor Sambad; np.int64(1094)
237;Editor; Sakshi; np.int64(1110)
238;Editor; Raj; np.int64(1136)
239;Editor; Raj; np.int64(1137)
240;Editor; Umar Ujala; np.int64(1139)
241;Editor; Amar Ujala; np.int64(1155)
242;Editor; Leader; np.int64(1156)
243;Editor; Daudti Dilli; np.int64(1164)
244;Editor; Amravati Darpan; np.int64(1166)
245;Editor; M.P.; np.int64(1167)
246;Editor; Dainik Navjyoti; np.int64(1177)
247;Editor; Amar Ujala; np.int64(1182)
248;Editor; Raj; np.int64(1203)
249;Editor; Raj; np.int64(1204)
250;Editor; Umar Ujala; np.int64(1206)
251;Editor; Amar Ujala; np.int64(1222)
252;Editor; Leader; np.int64(1223)
253;Editor; Daudti Dilli; np.int64(1231)
254;Editor; Amravati Darpan; np.int64(1233)
255;Editor; M.P.; np.int64(1234)
256;Editor; Dainik Navjyoti; np.int64(1244)
257;Editor; Amar Ujala; np.int64(1249)
258;Editor; Dainik Manav Jagat; np.int64(1301)
259;Editor; Vijay Karnataka; np.int64(1313)
260;Editor; Sandesh; np.int64(1332)
261;Editor; Bismil Saptahik; np.int64(1341)
262;Editor; Dainik Aaj; np.int64(1352)
263;Editor; Amar Ujala; np.int64(1415)
264;Editor; Ching Tam; np.int64(1456)
265;Editor; The Conspirator; np.int64(1461)
266;Editor; Halli Inda Dillige; np.int64(1516)
267;Editor; Dainik Savera; np.int64(1570)
268;Editor; Amar Ujala; np.int64(1583)
269;Editor; Dinamani; np.int64(1585)
270;Editor; Maalai Malar; np.int64(1586)
271;Editor; Jugasankha; np.int64(1604)
272;Editor; Ei-Somoy; np.int64(1605)
273;Editor; Ebela; np.int64(1607)
274;Editor; Niyomiya Barta; np.int64(1626)
275;Editor; Asomiya Pratidin; np.int64(1627)
276;Editor; Amar Ujala; np.int64(1633)
277;Editor; Amar Ujala; np.int64(1660)
278;Editor; Kumudam Reporter; np.int64(1664)
279;Editor; Neti Mahatma; np.int64(1665)
280;Editor; Praja Theerpu; np.int64(1666)
281;Editor; Tamizh Murasu; np.int64(1669)
282;Editor; Dinakaran; np.int64(1670)
283;Editor; Benki Bevaru; np.int64(1674)
284;Editor; Vilmurasu; np.int64(1675)
285;Editor; Prabhat Khabar; np.int64(1679)
286;Editor; Prabhat Khabar; np.int64(1681)
287;Editor; Prabhat Khabar; np.int64(1683)
288;Editor; Dainik Bhaskar; np.int64(1684)
289;Editor; M.P.; np.int64(1690)
290;Editor; Jagriti Lahar; np.int64(1696)
291;Editor; Amar Ujala; np.int64(1705)
292;Editor; Amar Ujala; np.int64(1707)
293;Editor; Hind Darshan; np.int64(1713)
294;Editor; Dainik Nagarchhaya; np.int64(1718)
295;Editor; Hiteshi Ki Jung; np.int64(1720)
296;Editor; Amar Ujala; np.int64(1820)
297;Editor; Gentleman; np.int64(1892)
298;Editor; Amar Ujala; np.int64(2033)
299;Editor; Zymin Ryotu; np.int64(2041)
300;Editor; Andhra Jyothi; np.int64(2042)
301;Editor; Aj; np.int64(2067)
302;Editor; Mandsaur; np.int64(2070)
303;Editor; M.P.; np.int64(2074)
304;Editor; M.P.; np.int64(2076)
305;Editor; Sanjha Lokswami; np.int64(2096)
306;Editor; Lalit Mashal; np.int64(2105)
307;Editor; Swadesh; np.int64(2118)
308;Editor; Prabhat Khabar; np.int64(2120)
309;Editor; Amar Ujala; np.int64(2121)
310;Editor; Dictator; np.int64(2160)
311;Editor; Mid Day; np.int64(2191)
312;Editor; Sakshi; np.int64(2200)
313;Editor; Dainik; np.int64(2221)
314;Editor; Our Leader; np.int64(2233)
315;Editor; Lal Kalam; np.int64(2357)
316;Editor; Amar Ujala; np.int64(2366)
317;Editor; Dainik Sambad; np.int64(2388)
318;Editor; Dainik Agradoot; np.int64(2391)
319;Editor; Dainik Janambhumi; np.int64(2478)
320;Editor; Amar Ujala; np.int64(2536)
321;Editor; Amar Ujala; np.int64(2537)
322;Editor; Poomale; np.int64(2541)
323;Editor; Veera Sindhura Lakshmana; np.int64(2566)
324;Editor; Chandrika; np.int64(2575)
325;Editor; Mitra; np.int64(2709)
326;Editor; Vijayavada; np.int64(2714)
327;Editor; Police Saithi; np.int64(3495)
328;Editor; Malai Murasu; np.int64(3498)
329;Editor; Rajamarga; np.int64(3717)
330;Editor; Veer Pratap; np.int64(3737)
331;Editor; Shikhar Gunj; np.int64(3931)
332;Editor; Aj; np.int64(3964)
333;Editor; Amar Ujala; np.int64(3966)
334;Editor; Dainik Samrat; np.int64(3969)
335;Editor; Vani; np.int64(3975)
336;Editor; Lankesh; np.int64(3977)
337;Editor; Samaygati; np.int64(3995)
338;Editor; Amar Ujala; np.int64(3998)
339;Editor; Sandesh; np.int64(4028)
340;Editor; Aaj; np.int64(4222)
341;Editor; Naya; np.int64(4287)
342;Editor; Ajir Asom; np.int64(4462)
343;Editor; Amar Ujala; np.int64(4590)
344;Editor; State King; np.int64(4596)
345;Editor; Amar Ujala; np.int64(4611)
346;Editor; Amar Asom; np.int64(4647)
347;Editor; Amar Asom; np.int64(4648)
348;Editor; Amar Ujala; np.int64(4698)
349;Editor; Amar Ujala; np.int64(4699)
350;Editor; Rana Pratap; np.int64(4719)
351;Editor; Dinakaran; np.int64(4726)
352;Editor; Khabre Aaj Tak; np.int64(4775)
353;Editor; Mind; np.int64(4780)
354;Editor; Dari Deepa; np.int64(4803)
355;Editor; Ajir Batori; np.int64(4994)
356;Editor; Dainik Agradoot; np.int64(4999)
357;Editor; Tom Tom; np.int64(5004)
358;Editor; Tarun Bharat; np.int64(5013)
359;Editor; Bhuvana Sangathi; np.int64(5016)
360;Editor; Chamakta Aaina; np.int64(5030)
361;Editor; Pratidin; np.int64(5055)
362;Editor; Dainik Navjyoti; np.int64(5065)
363;Editor; Matadar; np.int64(5107)
364;Editor; Gomantak; np.int64(5113)
365;Editor; Karavali Munjavu; np.int64(5155)
366;Editor; Our Leader; np.int64(5227)
367;the editor; The Editor; np.int64(682)
368;the editor; The Editor; np.int64(683)
369;the editor; The Editor; np.int64(684)
370;the editor; The Editor; np.int64(685)
371;the editor; The Editor; np.int64(686)
372;the editor; The Editor; np.int64(688)
373;the editor; The Editor; np.int64(690)
374;the editor; The Editor; np.int64(691)
375;the editor; The Editor; np.int64(693)
376;the editor; The Editor; np.int64(694)
377;the editor; The Editor; np.int64(696)
378;the editor; The Editor; np.int64(697)
379;the editor; The Editor; np.int64(698)
380;the editor; The Editor; np.int64(701)
381;the editor; The Editor; np.int64(703)
382;the editor; The Editor; np.int64(704)
383;the editor; The Editor; np.int64(705)
384;the editor; The Editor; np.int64(706)
385;the editor; The Editor; np.int64(707)
386;the editor; The Editor; np.int64(708)
387;the editor; The Editor; np.int64(709)
388;the editor; The Editor; np.int64(711)
389;the editor; The Editor; np.int64(712)
390;the editor; The Editor; np.int64(713)
391;the editor; The Editor; np.int64(714)
392;the editor; The Editor; np.int64(715)
393;the editor; The Editor; np.int64(716)
394;the editor; The editor; np.int64(717)
395;editor; Amar Bharati;1
396;Editor; The Patriots of India;2
397;Shri Siddharth Shankar Sharma; Civil Judge & Judicial Magistrate Collectorate;3
398;Editor; Dainik Jagran;4
399;Shri Rajeev Ranjan Dwivedi; Public Relation Officer Bihar School Examination Board;5
400;Shri Peeluram Sahu; Reporter Dainik Bhaskar;6
402;Quality Monitor; Mid- Day Meal;7
403;Editor;of Jabalpur Express;7
405;Chief Municipal officer; Municipal Council;8
406;Editor; Dainik Raj Express Bhopal;9
407;Editor; Peptech Times;10
408;editor; Rahat Times;12
409;editor; Awami Salar;13
410;editor; Kanwhiz Times;14
411;Editor; Fortnightly Arsikere;15
412;Arasi Varthe; Fortnightly Arsikere;15
413;Editor; Suvarna Times of Karnataka;16
414;editor; Rashtriya Sahara;17
415;Editor;of Dainik Bhaskar;18
416;Editor;of Rajasthan Patrika;19
417;Editor; Dainik Bhaskar;20
418;Shri Siddharth K.J.; Campaign;22
419;Shri Siddharth K.J.; Campaign;23
420;Shri Amarnath Chakravarty; Secretary of Sandesh;24
421;Editor;of Hindustan;24
422;Editor; Dainik Bhaskar;25
423;Under Secretary;to Govt. of India;26
424;Shri Amar Zaidi; Journalist PTI;26
425;Editor;of Saanjhveer Times;27
426;Shri Rajeev Ranjan Mishra; District Basic Education Officer;30
427;Editors;of Hindustan and Amar Ujala;30
428;Editors;of Hindustan;31
429;Editor;of Aaj ka Anand;33
430;Editor;of Aaj ka Anand;34
431;Dainik Aaj; Censure;35
432;editor;of Dainik Rajyonnati;36
433;Shri Rajendra Singh; Commissioner CGST;37
434;Ms. Rekha Singh; Advocate;40
435;Editor;of Dainik Bhaskar;40
436;Editor;of Dainik Jagran;41
437;Dr D.C. Prajapati; Vice President Media Cell;43
438;Editor;of Times of India;43
439;Editor;of (i) Prajanad;44
440;Editor;of Dainik Bhaskar;46
441;Editor;of Jagbani;47
442;Editor;of Anuchar;48
443;Shri R.K Soni; Joint Director Local Fund Audit;49
444;Shri J.N. Nayak; Chairman Sudarshan CHS Ltd.;53
445;Editor;of Dombivli Varta;53
446;editor;of Rajasthan Patrika;57
447;editor;of Rajasthan Khoj Khabar;59
448;editor;of Pratahkaal;60
449;Editor;of Dainik Navjyoti;61
450;Editor;of Rashtradoot;62
451;Editor;of Khabron Ki Duniya;65
452;Editor; Evening Post;66
453;editor;of Times of India;67
454;editor;of Hamara Samachar;69
455;Editor; Morning News;70
456;editor;of Dainik Navyatna;71
457;Editor;of Samachar Jagat;72
458;editor;of Kanthal Ki Awaz;74
459;Editor;of Jai Kanthal;75
