Person;Affiliation;PrimaryKey
Shri Rajesh Kumar Chopra; R.K.C. Fans Club;305
editor; Patrika;305
editor; Milli Gazette;306
editor; Hindustan Times;307
editor; Nav Bharat Times;309
Editor; Rashtriya Sahara;311
Shri Loknath Behera; IPS;312
Editor; Sajag Samachar Parivartan Ka;313
Editor; the Aryavarth Express;314
editor; Hindustan;315
Ms. Sangeeta Kumari; Ministry I&B;316
Ms. Sangeeta Kumari; Ministry I & B;316
Editor; Loksatta Maharashtra and Thomson Reuter (I) Pvt. Ltd;317
Editor; Indian Express;318
Editor; The National Crime News;319
Editor; the Financial Express;320
Shri Imran Farid; U.S. to the Govt. of India;321
Editor; Dainik Jagran;321
Shri Yashwant Jain; Member National Commission for Protection of Child Rights;322
editor; Times of India;324
editor; Press Trust of India;325
Prof. S. Krishnaiah; Ragistrar Jawaharlal Nehru Technological University;327
Editor; Telugu Daily;327
Sakshi; Telugu Daily;327
editor; Times of India;328
editor; Asomiya Khabar;329
Shri Arun Ch Borthakur; Secretary Sri Sri Maha Vishnu Jangya Mandir;330
Dr. Pallavi Darade; IRS;331
Editor; Mumbai Mirror;331
Editor; Sakshi Guntur Edition;332
Dr. Sheetal Kumar J. Patil; Trustee Dr. J.J. Magdum Trust;333
The Editor; FAPRATIM;333
Editor; Times of India;334
Editor; Andhra Bhoomi;335
Editor; Deccan Chronicle;336
Editor; Dakshin Mumbai;341
Shri V. Dinesh Reddy; Former DGP HOPF);342
Editor; Deccan Chronicle;342
Editor; Peoples Samacharpatra;345
H. N. Meena; General Manager Neemach;346
Editor; Dashpur Express;346
Shri Bhagwandeen Sahu; Spokesman Shri Vedant Seva Samiti;348
Editor; Rahat Times;350
Editor; Early Times;351
Editor; L.N. Star Newspaper;352
Editor; Bhopal Samachar;356
Editor; News 4;357
Editor; Times of India;358
Shri K.P. Singh; President Ksthetriya Gramin Bank;360
Dainik Rashtradoot M;Complaint of Ksthetriya Gramin Bank;360
Shri K.P. Singh; President Ksthetriya Gramin Bank;360
editor; Raj Express;361
Pradeep Kumar; Assistant Store Keeper Jodhpur Vidhut Vitran Nigam Ltd.;362
editor; Dainik Bhaskar;362
Shri Damodar; President and Maa Narmada Uddahan Samiti;363
Shri Rahul; Media Incharge Maa Narmada Uddahan Samiti;363
editor; Patrika;363
Editor; Dainik Jagran;364
Shri Gajendra Pal Singh; Secretary Shaheed Chandrabhan Smarak Samiti;366
Shri Gajendra Pal Singh; Secretary Shaheed Chandrabhan Smarak Samiti;366
Shri Sachin Jaiswal; MLA Sitaupur through his Counsel High Court;367
Jemendra Kumar; Advocate High Court;367
Editor; Amar Ujala;368
Shri Ayub Khan; Member M.P. Waqf Ashikaran;371
editor; News Trap;372
editor; Punjab Kesari;375
Editor; Youth India;376
Shri Ravinder Pal Singh Kohli; Advisor-PR The Kalgidhar Trust;378
editor; The Hindu;379
General Secretary; Trade Union Coordination Centre;381
General Secretary; Trade Union Coordination Centre;382
Shri G. Prasada Rao; GM-Corporate Communications;383
editor; Union Territory Independent;383
Shri Arvind Rajvedi; D i r e c t o r ( Đािमक एव ं Ĥशासन)  Pashimanchal Power Distribution Corporation Ltd.;384
Vishav Prikrama; Times;384
editor; Dainik Jagran;385
editor; Semariya Express;390
Ms. P.A. Lucia; Advocate;392
Dinakaran; Tamil Daily Newspaper;392
editor; Hindustan;393
Editor; Dainik Tribune;394
The Editor; Hind Darshan;395
Editor; Dainik Jagran;396
Shri Pramod Sahu; MP;397
Mahu; MP;397
Shri Ram Prasad Patel; President Gram Vikas Sanstha;398
Dainik Bhaskar; Dwarka Sadan;399
Editor; Mumbai Mirror;403
Editor; Dainik Bhaskar;404
Editor; Dainik Bhaskar;405
Shekhawati Bhaskar; Sikar Edition;406
Editor; Dainik Bhaskar;407
Editor; Mint;408
Shri Pankaj K. Gupta; Deputy Registrar DDE;409
Editor; The Tribune Trust;409
Editor; Times of India;410
Mr. Joseph Emmanuel; Regional Director CBSE;413
editor; Union Territory Independent;413
editor; Dainik Jagran;414
General Secretary; Popular Front of India;418
editor; Democratic Mission;419
editor; The Sambad;421
Tamil Murasu;for allegedly publishing Paid News;422
Dinakaran;for allegedly publishing Paid News;423
Odisha Bhaskar;for allegedly publishing Paid News;424
Krantidhara; Odisha for allegedly publishing Paid News;425
Editor; Orissa Post;426
Editor; Dharitri Odisha daily;427
Editor; Orissa Express;428
Editor; Bijnor Times;430
Editor; Navkar Weekly;434
Editor; the Times of India;435
Shri C.S. Chauhan; State President Rajasthan Rawat Rajput;436
Editor; Hindustan;437
Editor; Mumbai Mirror;442
The Editor; Times of India;443
editor; Pune Mirror;444
Sh. Babusaheb Narsingrao Patil; Omanabad trough Bombay Bench;445
Ms. Madhuri U. Kakde; advocate Bombay Bench;445
Dainik; Maharashtra Times;445
Shri Mahant Dharamnath; Jogi Ashram;446
Editor; Churu Seven Star;446
Editor; The Times of India;447
Shri Manoj Kumar Arora; Private Secretary to Minister of Women & Child Development;448
Editor; Reuters India News Agency;448
Shri Pashupati Nath Gupt; District President Akhil Bhartiya Udyog Vyapar Mandal;449
Shri Gopal Arya; Rashtirya Swayamsevak Sangh;449
Shri Harinarayan Dubey; Superintendent Vaishya College of law;451
Shri Shatrujeet Kapur; IPS;452
editor; Tribune;452
Dr. R. Mohan; General Manager (law-II) & Joint Head of law Department State Bank of India;453
Editor; Economic Times;454
Shri Chinmay Biswal; IPS;455
Ms. Jyoti Sabharwal; Author & Publisher Stellar;456
