Person;Affiliation;PrimaryKey
Mohd. Noor Hussain; State President Samta Party;1336
Editor; Prabhat Khabar;1336
Editor; The Samaya;1338
Shri Suresh Chandra Johri; Eye Consultant District Hospital;1339
Editor; Royal Bulletin;1339
Shri Amarkant Singh; District Basic Education Officer;1340
Editor; Amar Ujala;1340
Shri Rituraj Shukla; Director Kapil Ganga T.V.;1341
Editor; Hindustan;1342
Mohd. Taiyab Palaki; Chairman Municipal Corporation;1343
Shri Santosh Kushwaha; Organizer Maiswa District Forum;1344
Editor; Rashtriya Sahara;1344
Editor; Dainik Jagrna;1345
Shri Upender Kumar Agarwal; Superintendent of Police;1346
Editor; Dainik Jagrna;1346
Editor; Dainik Jagran;1347
Editor; Dainik Jagran;1348
Editor; Hindustan;1349
Editor; Dainik Jagran;1350
Editor; Rashtriya Sahara;1351
Editor; Tehalka;1353
Smt. Vimla Devi; Spokesperson Citizen Charter;1354
Shri Anoop Shramik; Human Rights Activist and Member of District SC/ST Monitoring and Vigilance Committee;1355
Editor; Rashtriya Sahara;1355
Shri Omkar Rana; (the then District Basic Education Officer;1356
Shri D.P. Joshi; S.D.O.;1357
Editor; Hindustan;1357
Joint Commissioner of Police (Crime); Detective Department;1359
Md. Abdul Khaleque; MLA;1360
Editor; Asomiya Pratidin;1360
Shri Subhra Sankar Laskar; Office of the Block Development Officer;1361
Editor; Tripura Times;1362
Shri Dhiraj Singh; Director (M&C) Ministry of Commerce and Industry;1363
Editor; India Today;1363
Editor; Dainik Bhaskar;1364
Shri Chandra Prakash Arya; Branch Manager State Bank of India;1365
Editor; Abu Samachar;1365
Shri Chandra Prakash Arya; Branch Manager State Bank of India;1366
Shri Tarbabu; Police;1368
Editor; Dainik Supreme News;1368
Editor; Prabhat Khabar;1369
Dr. Javed Chowdhary; Prof. & HOD Pediatrics & Medical Superintendent G.B. Pant Cannt. Gen Hospital;1370
Editor; The Daily Rising;1370
Dr. Kamal Kishore Singh; DIG of Police;1371
Editor; Times of India;1371
Editor; Dainik Jagran;1372
Shri Rajesh Daga; Associate VicePresidnet (Sales Co-Ordinator) Electro Steel Castings Limited;1373
Editor; Statesman;1373
Editor; The Tura Times;1374
Mohmad Nadeem; Director Surabhi Property Dealer;1375
Editor; Dainik Jabalpur Express;1375
Editor; Hindustan Times;1376
Shri Ravinder Dwivedi; National President Anti-Corruption Committee;1377
Shri Bajireddy Goverdhan; Member Central Governing Council;1378
Editor; Dainik Bhaskar;1382
Editor; Dainik Jagran;1383
Editor; Dainik Jagran;1384
Shri Rahul Jain; District Programme Manager National Rural Health Mission;1385
Bureau Chief; Dainik Jagran;1385
Shri Jaswant Singh; Superintendent of Police (City);1386
Editor; Shivalik Blitz;1386
Shri Ramlal Jat; State Minister of Mines;1387
Editor; Rajasthan Patrika;1387
Editor; The Times of India;1388
General Secretary; Popular Front of India;1389
Editor; Dainik Jagran;1389
General Secretary; Popular Front of India;1390
Editor; Dainik Jagran;1390
Secretary; Jharkhand Academic Council;1391
Shri H.C. Pradhan; General Manager Admn. & Corp. Communication;1392
Editor; Daily News & Analysis;1392
Shri Badal Chatterjee; Special Secretary (Agriculture) Government of Uttar Pradesh;1393
Editor; Jagat Vision;1394
Editor; Dainik Jagran;1395
Shri Sandeep Kumar Verma; Head T.T.-I Northern Railway;1396
Editor; Dainik Jagran;1396
Shri Sandeep Kumar Verma; Northern Railway;1397
Chief Train Ticket Examiner; Northern Railway;1397
Editor; Hindustan;1397
Editor; DNA;1398
Editor; Ajit Samachar;1399
Editor; Maruti Express;1400
Editor; Nai Duniya;1401
Smt. Aditi Das Rout; Director Department of Commerce;1402
Editor; Realpolitik;1402
Editor; Sandesh;1403
Editor; Hindustan;1404
Editor; Dainik Jagran;1405
Shri M.S.V.C. Varma; Assistant Manager (Transport) A.P. State Road Transport Corporation;1406
Shri Dabru Anand; Chief ExecutiveParakletor Worldwide Intelligence Network;1407
Amar Ujala; Agara & Allahabad edition;1408
Editor; Dainik Jagran;1409
Shri Dhruv Gupta; Superintendent of Police;1410
Editor; Dainik Bhaskar;1410
Shri Jagannath Mohanty; OAS;1411
Editor; B.P.N. Times;1412
Editor; Dainik Jagran;1413
Shri Satya Narayan Sharma; Bureau Chief Raj Express;1414
Editor; Dainik Jagran;1416
Editor; Prabhar Khabar;1417
Professor (Dr.) Pijushkanti Saha; Vice-Chancellor (Retd.) University of North Bengal;1418
Editor; City Media;1419
Editor; Shar Times;1420
Shri Rajinder Kumar Ahuja; ASI;1422
Editor; Samaj ki Jhalak;1422
Shri Anil Khokhar; Advocate;1423
Editor; Rashtriya Naveen Mail;1424
Shri C.K. Anil; IAS Managing Director Bihar StateCo-operative Marketing Union Ltd.;1425
Editor; Dainik Jagran;1425
Dr. Nutan Thakur; Secretary NonGovt. Gomti Nagar;1426
Editor; I-Next;1426
Editor; The Amar Ujala;1428
Editor; Bijnor Times;1429
Editor; Punjab Kesari Group;1430
Editor; Pragativadi;1431
Dr. A.K. Roy; Vigilance Officer Indian Grassland & Fodder Research Institute;1432
Editor; Citizen Power;1432
Mrs. Natacha Gallissot; President  Action Formation Education Voyage;1433
Editor; Dainik Bhaskar;1433
Editor; Dinamalar;1434
Editor; Eenadu A.P.;1435
Shri P. Mohanan;(through Advocate) District Jail;1436
Smt. Vandana Chakrabarti; Pro-Vice Chancellor SNDT Women’s University;1439
Editor; Mid - Day;1439
Ms. M.V. Jayagowri; I.P.S;1440
Editor; Mangalam Daily;1442
Editor; The Hindu;1443
St. Susheel Somani; Managing Director G. Claridge and Company;1449
Editor; Comparative Physiology and Ecology;1450
Editor; University Today;1451
Arun Shourie; Editor  Indian Express;1451
Sh. Mohan Nagpal; President Punjab Union of Journalists;1454
Sh. M. A. Sattar; Director Directorate of Information & Public Relations;1455
Editor; Manipur News;1455
Sh. M. A. Sattar; Director Directorate of Information & Public Relations;1456
Sh. R. R. Dalavi; Chairman Provincial Consumers' Association;1457
Sh. Charanjit Kumar; General Secretary Handicapped Welfare Committee;1458
Sh. Lalit Mohan Gautam; Advocate;1461
Editor; Indian Express;1461
Sh. S. M. Khan; Information Officer CBI;1462
Sh. D. R. Tamta; Deputy Secretary (Home) Delhi Admn.;1463
Sh. Mangat Rai Danav; Gen. Secretary Bharatiya Valmiki Dharma Samaj;1464
Sh. D. R. Tamta; Deputy Secretary (Home G) Delhi Administration;1465
Sh. K. Vijaya Rama Rao; Commissioner of Police;1466
Dr. M. S. Ummer; President Anjuman Ittigagul Muslimeen Al-Alam;1467
Sh. D. D. Agarwal; General Secretary Bharatiya Jana Sangh;1468
Sh. D. N. Saikia; Deputy Secretary to the Government of Assam;1469
Smt. Sundari Mani; Vice-President Consumers Protection Forum Madras;1470
Smt. Sundari Mani; Vice-President Consumers Protection Forum Madras;1471
Sh. Meer Wajid Ali; Secretary Wakf Committee;1475
Sh. D. D. Agarwal; General Secretary Bharatiya Jana Sangh;1476
Resident Secretary; Shri Gaur Brahmin Seva Samiti;1478
Smt. Shashi Doon; Programme Officer District I.C.D.S.;1481
Smt. Shashi Doon; Programme Officer ICDS Cell;1482
Sh. Sanjeev Garg; Convenor Doordarshan;1485
Sh. R. D. Singh; Advocate;1491
Divisional Manager; Syndicate Bank;1494
Sh. Krishna Kumar Prasad; Managing Director Bihar Warehousing Corporation;1499
Sh. P. N. Singh; Publisher  Vanachal Express;1503
Sh. Hanuman Prabhakar; Minister of Irrigation Cooperative;1504
Sh. C. Mothiram; IPS;1508
Gandinada Sanchari; Kannada Weekly Karnataka;1508
Secretary; Goods Transport Association;1511
Sh. Har Dev Singh; Senior Advocate Supreme Court of India;1513
Sh. Mohan Singh Barmah; Legal Adviser NIC Finance India Ltd.;1515
Chief Editor; Sarab Shakti Samachar;1515
Founder Secretary; Ladies Association;1516
Sh. Pawan Bansal; Ex-MP Rajya Sabha;1518
Lakshman Singh; Ex-Minister of State Government of Rajasthan;1519
Ch. Ajmat Khan; Ex-Minister Animal Husbandry Haryana;1520
Mohd. Hussain Shah; President The Mysore Family Fateha Fund;1523
Sh. P. K. Rastogi; Manager Syndicate Bank;1524
Sh. Arvind Joshi; President NSUI;1526
Sh. S. Ramaswamy; General Manager Ordinance Clothing Factory;1527
Sh. S. Ramaswamy; General Manager Ordinance Clothing Factory;1528
Sh. O. P. Sahni; Prop. Abba Auditorium;1531
Managing Director; M/s. Vayudoot Ltd.;1533
Secretary; Student Nurses Sangh;1534
Sh. M. Gopalkrishnan; Reliance Industries Ltd.;1535
Lt. Col. G. R. Rao; CO. 13 UP Girls' Bn.;1539
Editor; RB Times;1539
Sh. R. P. Dube; Leader Staff Council;1540
Editor; Civic Forum;1540
Sh. D. N. Rattanpaul; Manager N.T.C.;1541
Sh. Santosh Singh; Medical Officer Govt. Ayurvedic Hospital;1544
Sh. Ganesh Kumar Mishra; General Secretary Bihar Working Journalists Union;1545
Sh. Tabarakullah Khan; Advocate;1546
Editor; Murasoli;1547
Sh. Arun Prasad; IAS;1548
Dr. S. G. Rajaratnam; Chairman Oslers Pharma Limited;1549
Principal; St. Joseph's College;1550
Sh. S. N. Chatterjee; Director Information and Publicity Delhi Admn.;1553
Sh. Bhupinder Singh; Reader Punjabi University;1555
Editor; The Samaj;1557
Editor; Deccan Chronicle;1558
Shri Tanvir Ahmad; Deputy Director (Estate-1) New Delhi Municipal Council;1559
Editor; Navbharat;1559
Editor; Dainik Jagran;1563
Ms. Shobha Aggarwal; Member AIDS Bhedbhav Virodhi Andolan;1567
Editor; The Hindu;1567
Sh. Rajinder Singh; IPS;1569
Shri V. Sagar; Secretary The Institute of Chartered Accountants of India;1571
editor; DLA;1571
Editor; Dainik Jagran;1572
Editor; Amar Ujala;1573
Editor; The Hindustan Times;1574
Director General of Police; Jammu & Kashmir Police;1575
Shri M. Siraj Anwar; Professor & Head Publication Division;1576
Editor; Times of India;1577
Shri Dibya Kant Shukla; Secretary U.P. Secondary Education Service Selection Board;1578
Editor; Dainik Jagran;1578
Editor; The Indian Express;1580
Editor; Himalaya Darpan Siligury;1581
Shri Shri Kant Rai; NTPC Executives' Federation of India;1582
Secretary General; NTPC Executives' Federation of India;1582
Editor; Union Territory Independent;1582
Shri Mithun Ghosh; Specialist Forensic Medicine;1583
Editor; Deccan Chronicle;1584
Editor; Daily Thanthi;1587
Sh. P.E.B. Menon; Pranth Sanghachalak;1588
Dr. N.S. Ashok Kumar; Bangalore University;1589
Editor; The New Indian Express;1589
Dr. B. Srinivasulu; M.D. Aditya Nursing Home;1591
Editor; Eenadu Andhra Pradesh;1591
Editor; The Times of India;1592
Editor; Mathrubhumi;1593
Dr. C.V. Ravindranath; Managing Partner & Managing Trustee Krishna Jewels;1594
Editor; Malayalam Manorama;1594
Dr. C.V. Ravindranath; Managing Partner & Managing Trustee Krishna Jewels;1595
Dr. C.V. Ravindranath; Managing Partner & Managing Trustee Krishna Jewels;1596
Editor; Mathrubhumi Weekly;1596
Shri A.S. Dinesh Kumar; Managing Director A.P. State Fibre Net Ltd.;1597
Registrar; Shri Padmavati Mahila Visvavidyalayam;1599
Editor; The Vil Voice;1600
Editor; Telegraph;1601
Dr. Amit Kumar; President National Public Service Commission;1602
Editor; Dainik Jagran;1602
Dr. Arunima Chakravorty; Principal DPS;1603
Editor; Dainik Jagran;1603
Shri Prasun Maitra; State Committee Member Hindu;1604
Shri Ajay Nandi; Kshetriya Sanghachalak;1605
Editor; Bengal News Paper;1605
Ei-Somoy; Bengal News Paper;1605
Editor; The Statesman;1606
Dr. Sudip Chatterjee; Secretary Park Clinic;1607
Editor; Ananda Bazar Patrika;1608
Editor; Ananda Bazar Patrika;1609
Shri S.K. Sharma; Dy. General Manager Uranium Cor-poration of India Ltd;1610
Editor; Prabhat Khabar;1610
Dr. G. Narayan; Medical Practitioner at Primary Health Centre;1611
Shri Ramji Prasad Gupt; Editor Gorakhpur Mail;1612
Shri Vimal Shukla; Party President Dist. Congress Committee;1613
Shri Navneet Kumar; Reporter Hindustan;1613
Editor; Dainik Jagran;1614
Editor; Maharashtra Times;1616
Editor; Lokmat;1617
Editor; Navbharat Times;1618
Dr. S.K.Arora; Addl. Director Directorate General of Health Services;1619
Editor; Times of India;1619
Editor; Naya India;1620
Shri Namo Jain; President and Meerut LPG Distributors Association;1621
Shri Pawan Soni;General Secretary Meerut LPG Distributors Association;1621
Editor; Dainik Pratigya;1621
Shri Manoj Prabal; Reporter Rashtriya Reporter;1622
Editor; Dainik Jagran;1623
Smt. Kirti Gautam; Secretary U.P. Secondary Education Service Selection Board;1624
Editor; Dainik Jagran;1624
Editor; Asomiya Khabar;1625
Dr. Sangram K. Mohapatra; Managing Director SSB Hospital;1628
Editor; The Seva Shree;1628
Shri V. Sagar; Secretary The Institute of Chartered Accountants of India;1631
Editor; Rajasthan Patrika;1631
Shri V. Sagar; Secretary The Institute of Chartered Accountants of India;1632
Editor; The Economic times;1632
Senior Medical Superintendent; Deen Dayal Upadhayay Zonal Hospital;1633
Principal; Dr. R.P. Govt. Medical College;1634
Editor; Dainik Jagran;1634
Editors; Dainik Jagran;1636
Editor; The Hindustan Times;1637
Editor; Pradesh Today;1638
Shri Suresh Harchandani;and others Directors of Navjeevan Coop. Bank;1639
Shri Lalit Jain; Jyoti Flames;1641
Shri Venugopal Darbha; Coding Officer Government Opium & Alkaloid;1643
Editor; Dainik Bhaskar;1643
Editor; Dainik Jagarn;1645
Authorized Signatory; Patanjali Yogpeeth;1646
Editor; Pharmacist Times;1646
Shri Jata Shankar; President Sri Kashi Jivdaya Vistarni Gaushala;1647
Editor; Gunj Uthi Ranbhari;1647
Dainik U.P.; News Express;1651
Shri M.P. Nathanael; Consultant (PR) NCERT;1653
Editor; Greno Express;1653
Dr. Sudhakar Singh; Bachpan Hospital;1654
Dr. Sudhakar Singh; Bachpan Hospital;1655
Editor; Navbharat Times;1655
Editor; Youth India;1656
Editor; Youth India;1657
Editor; Youth India;1658
Shri Arun Sharma; Director Admn. (Drugs);1659
Editor; Union Territory Independent;1659
Shri Kamalkant Tiwari; President Subhash Children Society;1660
Editor; True Time;1661
Editor; Dinamalar;1662
Dr. Sasi Kanth; Assistant Professor Forensic Medicine;1663
Editor; Sakshi Daily;1663
Shri Mohammed Basheer; Popular Front of India;1667
Editor; The Kesari;1667
Shri Mohammed Basheer; Popular Front of India;1668
Editor; The Mangalam Daily;1668
Director;of Manidhanaeyam Charitable Trust;1669
Director;of Manidhanacyam Charitable Trust;1670
Editor; Samathuvam;1671
Shri Niranjan Barman; OSD to the Speaker Tripura Legislative Assembly;1676
Editor; BITIRNA;1676
Shri Saurabh Priyadarshi; Principal J.S.M. DAV;1677
Editor; Dainik Jagran;1680
Shri Shiv Shankar Sahani; President Bhrashtrachar Unmulan Samiti;1682
Editor; Hindustan Bhaskar;1682
Shri Shiv Shankar Sahani; President Bhrashtrachar Unmulan Samiti;1683
Shri Shiv Shankar Sahani; President Bhrashtrachar Unmulan Samiti;1684
Dr. J.K. Nandi; Registrar Vidyasagar University;1685
Shri Ashutosh Kumar Saxena; Senior Administrative Officer Electrical Safety;1686
Editor; Swatantra Bharat;1686
Editor; Hindustan;1687
Shri Praveen Thakral; Chairman Oriental College of Management;1689
Editor; Pradesh Today;1689
Editor; Pradesh Headlines;1690
Editor; Amar Ujala;1692
Editor; The Sambad;1693
Shri Vivek Sharma; IRTS;1694
Editor; Vidhan Kesari;1694
Shri V.Sagar; Secretary ICAI;1695
Editor; the Times of India;1695
The Editor; Deccan Chronicle;1697
Shri Deepak Hedau; Civil Engineer Nagpur Municipal Corporation;1698
The Editor; Hindustan Times;1698
Shri Deepak Hedau; Civil Engineer Nagpur Municipal Corporation;1699
The Editor; The Tribune;1699
Shri Suresh Yogi; Reporter Dainik Navjyoti;1700
The Editor; Inqalab Urdu Dainik;1708
Editor; Dainik Jagran;1709
Shri P.K. Singh; Dy. Director Information;1711
Dainik Khulasa;the Vision;1711
Shri Namo Jain; President and Meerut LPG Distributors Association;1712
Shri Pawan Soni;General Secretary Meerut LPG Distributors Association;1712
The Editor; ON THE SPOT;1712
Editor; Pioneer;1717
Shri Nitya Prakash Mishra; Reporter ABP News;1719
Editor; Dainik Jagran;1725
Editor; The Indian Express;1738
Editor; Shillong Times;1739
Shri Rana Muneshwar Kumar Singh;General Secretary The Council of Renovation of India Cultu-ral Heritage;1742
Sr. Cyrilla Superior Fran-ciscans; Snehasadan;1743
Father Flacido Fonseca; Andheri Director  Snehasadan;1743
Dr. Purna Narayan Sinha; President North East Journalist Forum;1744
Shri V.N. Narayanan; Editor-in-Chief The Tribune;1745
Shri Harkishan Singh Surjeet; Member Polit Bureau;1747
Shri Madhu Limaye; C. P. I.;1748
Shri Lalit Surjan; Editor Deshbandhu;1750
Shri Surendra Nath; Labour Commissioner;1751
Arun Shourie; Former Editor Indian Express;1752
Smt. Radha Tiwari; PCS (J);1753
Editor; Public India;1753
Smt. Radha Tiwari; PCS(J);1754
Editor; Public India;1754
Major General E. D'Souza; PVSM (Retd.);1758
Shri R. L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;1759
Shri R.L. Kain; General Secretary Dr. B. R. Ambedkar Vichar Manch;1761
Shri R.L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;1762
Shri R.L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;1763
Shri Syed N. Kazi; Presi-dent Muslim Opinion;1765
Shri S.N. Chatterjee; Director Information & Publicity Delhi Administration;1769
Shri Mahender Nath Singh; Advocate and President Zila Apradh Nirodhak Committee;1770
Amrit Raj; Hindi Weekly;1770
Resident Manager; Usha Breco Limited;1772
Dr. K. S. Singh; Anthropological Survey of India;1777
Director General; Anthropological Survey of India;1777
Shri M. M. Singh; Acc-untant Madhya Pradesh State Trans-port Corporation;1778
Shri Arun Kumar; Prop-rietor M/s Durga Printers;1779
Shri D. S. Mehrotra; General Manager (MS) JK Synthetics Limited;1780
Editor; Desh Ki Dharti;1780
Shri Harkesh Singh Kahil; Cooperative Socie-ties;1782
Assistant Registrar; Cooperative Socie-ties;1782
Shri Mohinder Kumar Batra; Advisor Uranium Cooperation of India Ltd.;1783
Shri Vijay K. Saluja; Ex-Project Manager Connaught Place NDMC;1784
Shri H. D. Khunteta; Hydroelectric Manager National Power Corporation Ltd.;1785
Editor; Perennial Flow;1785
Shri Santosh Kumar Choudhary; District Employment Officer;1786
Shri Chandradev Meera; Delhi Municipal Corporation;1787
Shri Pitambar Tripathi; Editor Kunjrashan;1788
Editor; Saptahik Samachar Sanchaya;1788
Shri J. K. Bedi; Regional Manager Punjab National Bank;1789
Yugjit; Hindi Weekly;1789
Shri V. V. Vyawhare; Employees' State Insurance Corporation;1790
General Secretary; Employees' State Insurance Corporation;1790
Vidarbha Chan-dika; Weekly;1790
Lt. Col. B. R. Malhotra;(Retd.) Deputy General Manager (P&A) Bharat Electronics Ltd.;1791
Dr. K. S. Singh; Direc-tor General Anthropological Survey of India;1792
Major (Dr.) V.K. Bhasin; Senior Executive (Exports) All India Rice Exporters Association;1793
Shri Gurnam Arora; Partner Satnam Overseas;1794
Crime Informer; Urdu frotnightly;1796
Managing Director; The Memorial Finance & Investment (1) Limited;1797
editor; Aji Kagaj;1797
Shri Ramayan Singh Baghel; Deputy Registrar Office of the Registrar (Land);1799
Dr. N. K. Sengupta; Secretary to the Government of India;1800
C.P. Singh; Commissioner of the Police;1801
Shri A. Madhava Reddy; General Secretary Telugu Desam Party;1802
Mrs. Shashi Sail; Chair-person Chhattisgarh Mahila Jagriti Sangathan;1803
Dr. B. Vijaya Lakshmi; Professor Department of Social Work;1805
Miss Amida Yakub Khan; Law College;1806
Editor;of Daily 'Pratidhwani';1806
Editor; Pratidhwani;1807
Editor; Sunday Mail;1809
Dr. J. S. Mathur; Prin-cipal LLRM Medical College;1810
Shri S.K.S. Chauhan; Officer Manager (Admn.) Ordinance Factory Board;1812
Editor; Nav Bharat Times;1812
Nisha Gupta; Steno;1813
Principal; Rewa;1814
Shri Krishna Autar Goel; Leader Janata Dal;1816
Editor; Amgaon Times;1819
Shri P.K. Gupta; Profe-ssor and Head Dean Faculty of Agri-culture;1821
Dr. J.S. Mathur; LLRM Medical College;1822
Princi-pal; LLRM Medical College;1822
General Manager;of Damodar Valley Corporation;1824
Shri S. C. Mohania; Inspector Central Excise;1825
Shri Rambhalu Mhaskar; Pramdham Ashram;1826
Shri Rambhau Mhaskar; Pramdham Ashram;1827
Dr. K.N. Mittal; District TB Officer;1829
Shri Janardan Giri; Dy. Labour Commissioner Bokaro Steel City;1832
Shri Rewa Chand; Vice-President Puj Sindhi Panchayat;1833
President; Ghaziabad District Petrol Dealer's Association;1834
Shri Anil Kumar; Assis-tant Central Water Commission;1836
Sandhya Veer Arjun; Hindi daily;1836
Private Secretary to the Hon'ble Speaker; Tamil Nadu Legislative Assembly;1837
Shri Paras Ram; Editor The Light of Andamans;1842
editor; Anda-man and Nicobar Islands Sun Times;1842
editor; Hindu;1843
editor; Sruti;1846
Director, Information and Cultural Affairs; Department of Tourism;1847
Shri Brijmohan Pant; Journa-list;1851
Shri Amarendra Chakravorty; editor Karmakshetra weekly;1854
Deputy Commandant Y.S. Dalal;of The Assam Rifles;1855
Public Relations Officer;of The Assam Rifles;1855
Shri H.D. Birdi; Secretary In-formation Publicity and Tourism;1857
President; Biological Evans Staff and Workers Union;1859
President; Biological Evans Staff and Workers Union;1860
Shri V.S. Krishna Iyer; MP and former member Press Council;1866
Shri P.A. Mane; Deputy Secretary to the Government of Maharashtra;1867
Shri R.L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;1872
General Secretary; Dr. Ambedkar Vichar Manch;1874
Deputy Secretary; (Home- G) Delhi Administration;1875
Shri M.J. Pandey; Bombay Union of Journalists;1876
General Secretary; Bombay Union of Journalists;1876
Shri M.J. Pandey; Bombay Union of Journalists;1877
General Secretary; Bombay Union of Journalists;1877
Shri M.J. Pandey; Bombay Union of Journalists;1878
General Secretary; Bombay Union of Journalists;1878
M.J. Pandey; General Secretary Bombay Union of Journalist;1879
Shri M.J. Pandey; Bombay Union of Journalists;1880
General Secretary; Bombay Union of Journalists;1880
Shri M.J. Pandey; Bombay Union of Journalists;1881
General Secretary; Bombay Union of Journalists;1881
Shri R.L. Kain; General Secre-tary Dr. B.R. Ambedkar Vichar Manch;1882
Shri Ashok Priyadarshi; Direc-tor I & PRD;1883
Shri P.A. Mane; Deputy Secretary Government of Maharashtra;1884
Smt. Sutapa Dewanji; Director Gana Unnayan Parishad;1886
Shri R.L. Kain; General Secretary B.R. Ambedkar Vichar Manch;1889
Shri Chandi Das Ganguly; Hony Secretary Cricket Association of Bengal;1890
Prof. K.K. Sharma; Head Deptt. of History Meerut University;1893
Shri P.A. Mane; Secretary to the Government of Maharashtra;1897
Shri K. Damu; Asstt. Manager FCI;1900
Mr. J.F. Ribero; Adviser to Govt. of Punjab;1902
Shri G.P. Sau; Director In-formation Cultural Affairs and Tourism;1904
Manager; Shri Gandhi Ashram;1907
Secretary; Indian Medical Association;1910
Chairman; Bihar Inter Univer-sity Board;1912
Partner;of Basant Cinema;1914
Dr. K.S. Singh; Director-General Anthropological Survey of India;1919
editor; Batamidar;1921
Shri S.S. Sonwalkar; Secretary Brihan Maharashtra Mandal;1922
G.R. Khairnar; Deputy Municipal Commissioner;1924
Shri R.V. Gangal; President Dadar Bar Association;1925
Shri Anupam Narayan; Partner Maharaja Hotel Moradabad;1927
Shri Peethambaran; Secretary Indraprastha Estate Sahkari Avas Samiti Ltd.;1929
Shri K. Peethambaran; Secretary Indraprastha Estate Sahkari Avas Samiti Ltd.;1930
Director; National Institute for Visually Handicapped;1934
Director; National Institute for Visually Handicapped;1935
Shri V.K. Goyal; NHDC;1938
G.M.; NHDC;1938
Shri S.B. Goswami; Executive Engineer PWD;1944
Shri D.N. Saikia; Deputy Secretary Government of Assam;1945
Shri D.N. Saikia; Deputy Secretary Government of Assam;1946
Shri R. Bhattacharji; Additional Collector Customs and Excise;1948
Jt. Secretary & President; Teachers Association;1949
Jt. Secretary; Dibrugarh University Teachers Association;1950
Shri J.N. Mukherjee;Producers Calcutta TV;1952
Smt. N. Bandopadhyaya;Producers Calcutta TV;1952
Shri K.R. Venkataraman; Hindustan Antibiotics Ltd.;1954
Deputy Personnel Manager; Hindustan Antibiotics Ltd.;1954
Shri D.K. Samarasinha Reddy; MLA;1959
Shri Rajendra Rajan; Informa-tion Officer H.P. Department of Public Relations;1963
Shri A.K. Yadav; President AS- March TO ERBC Nazira (Assam);1964
Shri V.K. Arora; Assistant Secretary Indian Council of World Affairs;1966
Dr. Walter Fernandes; Indian Social Institute;1967
Dr. Walter Fernandes; Indian Social Institute;1968
Ms. Suchita Kumbhar; General Secretary Network by People Living with HIV & AIDS;1975
Editor; Mid Day;1975
Shri Narayan S. Navti; Joint Chief Electoral Officer;1976
Editor; The Urdu Times;1977
Shri Shamsher Singh; State General Secretay;1978
Editor; Dainik Bhaskar;1979
Shri N. Konda Reddy; Indian National Congress;1980
Editor; Sakshi Daily;1980
Prof. M.K. Vasantha; Chairman  Akashdeep Enclave Residence Welfare Society;1981
Editor; Dainik Jagran;1981
The President; NRI Group Housing;1991
Editor; The Hindustan Times;1991
Editor; Community Samvada;1992
Shri Ravinder Dwivedi; National President  Anti Corruption Committee;1993
Editor; Ananda Bazar Patrika;1993
Editor; Rashtriya Sahara;1994
Shri Riyaz Ahmed Khan; Advocate;1995
Editor; Health Plus;1995
Editor; Patrika;1996
Shri Manmeet Singh Goindi; Administrator Sports Authority of India;1998
Editor; Hindustan Times;1998
Shri Anil Subramanium; Under Secretary to Government of India;1999
Editor; Real Politik;1999
Editor; Dainik Jagran;2000
Shri Mahender Tripathi; Chairman Press Club Ayodhya;2001
Shri Vimal Chandra Srivastava; Managing Director  Uttar Pradesh Minorities Financial and Development Coporation Ltd.;2002
Editor; Daily News Activist;2002
Shri A.K. Yadav; Managing Director Ordnance Equipment Factory;2005
Editor; Dainik Hindustan;2005
Dr. Vijay Agarwal; Secretary/ Director Education Council of India;2006
Editor; Dainik Hindustan;2006
Shri R.B. Gupte; Secretary/ Registrar Debts Recovery Tribunal;2007
Editor; Voice of Lucknow;2007
Editor; India Today;2008
Editor; Dainik Jagran;2009
Shri Kanubhai Jethabhai Desai; Editor/ Owner/Publisher/Printer Hello Khelaru weekly;2010
Dr. Lisa Warden; Director DOGSTOP;2011
Editor; Ahmedabad Mirror;2011
Shri Yusuf Hakim; Chairman  Iqraa Charitable Foundation;2012
Editor; Ahmedabad Mirror;2012
Editor; Sanj Samachar;2013
Editor; Jang- e-Gujarat;2014
Chief Executive Officer; Ichalkaranji Mahila Sahakari Bank Limited;2015
Editor; Daily Lokmat;2015
Shri Ravinder Dwivedi; National President Anti Corruption Committee;2016
Shri Jai Prakash Gupta; Chartered Accountant;2020
Editor; Sales Tax Review;2020
Editor; Singrauli Ka Tufan;2021
Shri Dilip Kumar Gokulchand  Sananda; MLA;2022
Editor; Prashnakal;2022
Shri Sunil Madhusudan  Golkonda; President The Barshi City Goldsmith Association;2023
Editor; Ek Aur Jung;2024
Shri Sanjay Sanyal; AGM (HR);2025
Editor; Jagat Bharti;2025
Editor; Mumbai Mirror;2026
Shri Om Prakash; Secretary  Information Technology Rural Development  Panchayati Raj and Cooperation;2027
Editor; Shivalik Blitz;2027
Col. Sanjay Dikshit; Colonal General Staff;2028
Editor; Kashmir Times;2028
Col. Sanjay Dikshit; Colonal General Staff;2029
Editor; Kashmir Times;2029
Col. Sushil Mann; Colonel General Staff;2030
Editor; Kashmir Times;2030
Shri Amrik Singh; DIG (Retd.);2031
Editor; The Tribune;2031
Shri Sanjiv Chaturvedi; IFS;2032
Editor; The Tribune;2032
Shri Sanjiv Chaturvedi; IFS;2033
